wafer_id,progress_pct,Q_score,Q_threshold,Q_ratio,q_delta,spc_state,spc_level,rule_hit,rule_message,lamp_color,blink,progress_resolution,raw_recalc_source
2901,5,5.3306926598454885,11.69254604344812,0.4559052100404193,0.0,정상,1,없음,정상 범위,blue,False,5,raw_ev_oes_rfm_recalculated
2901,10,5.314490143621432,13.055050734346569,0.40708307089451023,-0.016202516224056218,정상,1,없음,정상 범위,blue,False,5,raw_ev_oes_rfm_recalculated
2901,15,5.272265830991781,11.792443012925332,0.4470885146710494,-0.042224312629651095,정상,1,없음,정상 범위,blue,False,5,raw_ev_oes_rfm_recalculated
2901,20,3.863351648973634,12.885486143188228,0.29982195518606436,-1.408914182018147,정상,1,없음,정상 범위,blue,False,5,raw_ev_oes_rfm_recalculated
2901,25,5.04950547557226,15.443041862669942,0.3269760919173765,1.1861538265986256,정상,1,없음,정상 범위,blue,False,5,raw_ev_oes_rfm_recalculated
2901,30,5.862007185592613,16.24370481392083,0.3608787067202109,0.8125017100203529,관찰,2,R2: 3연속 Q_score 상승,현재 진행률 기준 관찰,green,False,5,raw_ev_oes_rfm_recalculated
2901,35,6.047883132109823,11.527792806983255,0.5246349612083732,0.18587594651721062,관찰,2,R2: 3연속 Q_score 상승,현재 진행률 기준 관찰,green,False,5,raw_ev_oes_rfm_recalculated
2901,40,4.883996265086871,12.37417556094375,0.39469265980855217,-1.1638868670229519,정상,1,없음,정상 범위,blue,False,5,raw_ev_oes_rfm_recalculated
2901,45,5.984944375862588,10.31627116111342,0.5801460898413068,1.1009481107757164,정상,1,없음,정상 범위,blue,False,5,raw_ev_oes_rfm_recalculated
2901,50,5.748946596760464,10.211957110502427,0.5629622739844837,-0.2359977791021235,정상,1,없음,정상 범위,blue,False,5,raw_ev_oes_rfm_recalculated
2901,55,5.619610028745971,12.961395176452617,0.4335652105535133,-0.12933656801449356,정상,1,없음,정상 범위,blue,False,5,raw_ev_oes_rfm_recalculated
2901,60,6.055459758127425,21.187240366912285,0.28580691271073333,0.43584972938145405,정상,1,없음,정상 범위,blue,False,5,raw_ev_oes_rfm_recalculated
2901,65,6.9917178926269035,14.171231618919798,0.4933740468465963,0.9362581344994787,관찰,2,R2: 3연속 Q_score 상승,현재 진행률 기준 관찰,green,False,5,raw_ev_oes_rfm_recalculated
2901,70,6.318391380693088,16.22975639265628,0.3893090708097174,-0.6733265119338157,정상,1,없음,정상 범위,blue,False,5,raw_ev_oes_rfm_recalculated
2901,75,5.347451708277791,11.469190456891882,0.4662449131328607,-0.9709396724152972,정상,1,없음,정상 범위,blue,False,5,raw_ev_oes_rfm_recalculated
